,date,volume,open,high,close,low
3395,2020-08-25 08:01:00,1585.15,1585.15,1585.15,1585.15,395.0
3396,2020-08-25 08:55:00,1589.84,1589.84,1589.84,1589.84,265.0
3397,2020-08-25 09:15:00,1588.12,1588.12,1588.12,1588.12,666.0
3398,2020-08-25 09:20:00,1586.11,1586.11,1585.36,1586.11,1188.0
3399,2020-08-25 09:24:00,1579.5,1579.5,1579.5,1579.5,1195.0
3400,2020-08-25 09:25:00,1579.51,1579.51,1579.38,1579.38,1243.0
3401,2020-08-25 09:26:00,1579.39,1579.41,1579.39,1579.41,464.0
3402,2020-08-25 09:29:00,1579.31,1579.51,1579.31,1579.51,866.0
3403,2020-08-25 09:30:00,1579.7,1579.7,1579.7,1579.7,628.0
3404,2020-08-25 09:31:00,1580.26,1581.84,1577.88,1580.1,35498.0
3405,2020-08-25 09:32:00,1584.79,1586.365,1580.26,1580.31,10171.0
3406,2020-08-25 09:33:00,1584.69,1585.19,1583.42,1583.94,6303.0
3407,2020-08-25 09:34:00,1587.02,1588.98,1585.1,1585.16,5872.0
3408,2020-08-25 09:35:00,1586.86,1588.2775,1586.86,1588.2311,3002.0
3409,2020-08-25 09:36:00,1590.095,1591.801,1587.78,1587.78,9791.0
3410,2020-08-25 09:37:00,1590.06,1590.22,1588.37,1590.1999,3282.0
3411,2020-08-25 09:38:00,1589.255,1590.91,1588.96,1590.72,4568.0
3412,2020-08-25 09:39:00,1586.31,1589.07,1585.69,1589.07,7199.0
3413,2020-08-25 09:40:00,1586.46,1586.64,1585.01,1585.2025,2334.0
3414,2020-08-25 09:41:00,1585.35,1587.17,1583.7,1587.0,5055.0
3415,2020-08-25 09:42:00,1586.18,1586.3,1584.54,1586.02,3604.0
3416,2020-08-25 09:43:00,1587.554,1587.554,1586.075,1586.14,3034.0
3417,2020-08-25 09:44:00,1588.39,1588.39,1587.0327,1587.855,2967.0
3418,2020-08-25 09:45:00,1588.125,1590.79,1587.21,1588.1,4346.0
3419,2020-08-25 09:46:00,1587.3,1590.235,1587.14,1589.25,2630.0
3420,2020-08-25 09:47:00,1587.49,1588.84,1587.14,1587.79,2098.0
3421,2020-08-25 09:48:00,1589.89,1590.06,1587.7877,1588.06,2724.0
3422,2020-08-25 09:49:00,1591.013,1591.38,1589.66,1589.66,1564.0
3423,2020-08-25 09:50:00,1592.39,1593.0,1591.97,1591.97,5320.0
3424,2020-08-25 09:51:00,1591.75,1592.6234,1591.65,1591.65,2736.0
3425,2020-08-25 09:52:00,1589.7,1592.599,1589.7,1591.16,4892.0
3426,2020-08-25 09:53:00,1588.97,1591.6,1588.97,1590.56,2452.0
3427,2020-08-25 09:54:00,1586.545,1589.22,1586.14,1589.22,3561.0
3428,2020-08-25 09:55:00,1585.585,1586.955,1585.0,1586.315,6192.0
3429,2020-08-25 09:56:00,1585.555,1586.63,1584.01,1584.01,2794.0
3430,2020-08-25 09:57:00,1587.45,1587.98,1585.91,1586.4525,3973.0
3431,2020-08-25 09:58:00,1588.64,1590.0,1588.6101,1589.0,2242.0
3432,2020-08-25 09:59:00,1591.7,1591.7,1590.0,1590.0,2823.0
3433,2020-08-25 10:00:00,1592.73,1594.772,1591.46,1591.46,9374.0
3434,2020-08-25 10:01:00,1591.0,1594.16,1591.0,1593.8163,4422.0
3435,2020-08-25 10:02:00,1592.515,1592.872,1590.612,1591.09,1513.0
3436,2020-08-25 10:03:00,1591.18,1592.0483,1591.0,1592.0483,1942.0
3437,2020-08-25 10:04:00,1590.75,1591.09,1590.19,1591.09,1611.0
3438,2020-08-25 10:05:00,1589.51,1590.96,1589.5,1590.96,4774.0
3439,2020-08-25 10:06:00,1590.4951,1590.84,1590.12,1590.84,2741.0
3440,2020-08-25 10:07:00,1590.04,1590.31,1589.86,1590.31,2691.0
3441,2020-08-25 10:08:00,1589.0,1590.05,1589.0,1590.035,3376.0
3442,2020-08-25 10:09:00,1588.34,1589.59,1588.0,1589.59,2128.0
3443,2020-08-25 10:10:00,1589.07,1589.07,1588.16,1588.83,2846.0
3444,2020-08-25 10:11:00,1590.13,1590.25,1588.65,1588.65,4740.0
3445,2020-08-25 10:12:00,1590.56,1591.295,1590.0823,1590.85,5255.0
3446,2020-08-25 10:13:00,1590.02,1590.8,1590.02,1590.26,5515.0
3447,2020-08-25 10:14:00,1592.03,1592.27,1589.98,1590.73,5501.0
3448,2020-08-25 10:15:00,1594.35,1594.6,1593.551,1593.69,2576.0
3449,2020-08-25 10:16:00,1595.4981,1596.0,1595.0,1595.0,1454.0
3450,2020-08-25 10:17:00,1595.26,1595.53,1594.8615,1595.53,2273.0
3451,2020-08-25 10:18:00,1596.32,1596.32,1594.815,1594.99,4765.0
3452,2020-08-25 10:19:00,1595.95,1596.95,1595.95,1596.7199,1544.0
3453,2020-08-25 10:20:00,1598.12,1598.93,1597.31,1597.98,4731.0
3454,2020-08-25 10:21:00,1597.56,1598.9,1597.56,1598.9,1505.0
3455,2020-08-25 10:22:00,1597.57,1598.85,1596.7,1597.75,12830.0
3456,2020-08-25 10:23:00,1598.14,1599.84,1597.29,1598.05,6778.0
3457,2020-08-25 10:24:00,1597.44,1598.64,1597.09,1598.005,2236.0
3458,2020-08-25 10:25:00,1596.705,1596.705,1596.705,1596.705,1179.0
3459,2020-08-25 10:26:00,1596.565,1597.39,1596.565,1597.37,1600.0
3460,2020-08-25 10:27:00,1596.11,1597.22,1596.11,1596.29,1678.0
3461,2020-08-25 10:28:00,1594.0,1594.15,1593.315,1594.15,1958.0
3462,2020-08-25 10:29:00,1595.43,1595.43,1593.185,1593.7,1775.0
3463,2020-08-25 10:30:00,1595.02,1595.175,1594.5964,1594.5964,1439.0
3464,2020-08-25 10:31:00,1595.3977,1595.3977,1593.8672,1595.0,2838.0
3465,2020-08-25 10:32:00,1596.2,1596.2,1595.1,1595.1,2722.0
3466,2020-08-25 10:33:00,1598.355,1598.4233,1596.86,1597.16,4778.0
